,app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck
0,215690,Zeno Clash 2,30-04-2013,True,False,False,9.0,82,0.023138872520133573,14.99,14.99,0,True
1,225824,Borderlands 2: Siren Supremacy Pack,22-01-2013,True,True,True,5.25,68,0.0030642309958750736,0.99,0.99,0,True
2,240360,Dragon's Lair 2: Time Warp,24-10-2013,True,True,True,9.0,82,0.0027106658809664115,9.99,9.99,0,True
3,249650,Blackguards,22-01-2014,True,False,False,5.25,63,0.10422313887252015,9.99,9.99,0,True
4,259060,Dominions 4: Thrones of Ascension,5/12/2013,True,True,True,9.0,89,0.043174229031624434,34.99,34.99,0,True
5,277430,Halo: Spartan Assault,4/4/2014,True,False,False,7.5,79,0.1487723433510116,2.99,2.99,0,True
6,573040,School of Talent: SUZU-ROUTE,23-02-2017,True,True,False,9.0,86,0.0024356707915930073,8.99,8.99,0,True
7,284460,DeadCore,17-10-2014,True,True,True,9.0,85,0.06006678452170497,9.99,9.99,0,True
8,285380,On The Road - Truck Simulator,14-11-2019,True,True,False,5.25,51,0.032213710469455904,29.99,29.99,0,True
9,322190,SteamWorld Heist,7/6/2016,True,True,True,9.8,96,0.09750540168925556,14.99,14.99,0,True
10,347950,Palace of Cards,14-12-2017,True,True,False,5.25,66,0.007503437438617169,0.0,0.0,0,True
11,360620,Spellsworn,13-03-2018,True,False,True,9.0,89,0.05252406207032018,0.0,0.0,0,True
12,404590,Vikings - Wolves of Midgard,24-03-2017,True,True,True,5.25,58,0.10493026910233746,29.99,29.99,0,True
13,415670,Highrise Heroes: Word Challenge,8/1/2016,True,False,False,9.0,91,0.002671380868198782,4.99,4.99,0,True
14,426690,Narcissu 10th Anniversary Anthology Project,27-01-2016,True,False,False,9.0,97,0.014260459634649381,2.99,2.99,0,True
15,445991,HomefrontÂ®: The Revolution - The Liberty Pack,14-07-2016,True,False,False,7.5,70,0.0,2.99,2.99,0,True
16,471650,AdVenture Capitalist - Savvy Investor Bundle,17-05-2016,True,True,True,5.25,43,0.0012178353957965037,9.99,9.99,0,True
17,486510,TOKYO WARFARE,29-07-2016,True,False,False,9.0,82,0.0115890787664506,4.99,4.99,0,True
18,517780,Ogre,5/10/2017,True,True,False,5.25,67,0.006521312119426439,24.99,24.99,0,True
19,552160,Hade,2/12/2016,True,False,False,9.0,90,0.009546258102533884,3.99,3.99,0,True
20,556060,Detective Gallo,30-05-2018,True,False,False,9.0,84,0.003339226085248478,14.99,14.99,0,True
21,563200,Slay,30-11-2016,True,False,False,9.0,89,0.005028481634256531,9.99,9.99,0,True
22,898340,Puzzles and Board Games Mega Collection,25-07-2018,True,False,False,5.25,47,0.0002749950893734041,6.99,6.99,0,True
23,913160,èŒ‰èŽ‰ä¹‹å¤ Jasmine Summer,17-01-2019,True,False,False,9.0,90,0.003417796110783736,6.99,6.99,0,True
24,574090,MOTHERGUNSHIP,17-07-2018,True,False,False,7.5,79,0.038224317422903165,24.99,24.99,0,True
25,608120,AFTERBURN,11/12/2019,True,False,False,9.0,88,0.010528383421724612,9.99,9.99,0,True
26,613190,Unworthy,29-05-2018,True,False,False,9.0,81,0.0222353172264781,14.99,14.99,0,True
27,628050,Romance of the Three Kingdoms IX with Power Up Kit,17-10-2017,True,False,False,9.0,84,0.013160479277155766,29.99,29.99,0,True
28,655080,Crazy Ball Adventures,20-07-2017,True,False,False,9.0,85,0.005028481634256531,0.99,0.99,0,True
29,661990,Arcana Heart 3 LOVEMAX SIXSTARS!!!!!! XTEND,12/12/2017,True,False,False,9.0,84,0.006599882144961698,29.99,29.99,0,True
30,703730,Sorcery Jokers All Ages Version,12/1/2018,True,False,False,9.0,89,0.0018856806128461994,39.99,39.99,0,True
31,730261,OMSI 2 Add-On MÃ¼nchen City,5/9/2019,True,False,False,5.25,55,0.003457081123551365,24.99,24.99,0,True
32,744750,Devil and the Fairy,12/2/2018,True,False,False,5.25,66,0.0005499901787468081,11.99,11.99,0,True
33,760720,Warhammer 40000: Space Wolf - Saga of the Great Awakening,12/12/2017,True,False,False,7.5,70,0.0005499901787468081,9.99,9.99,0,True
34,765810,Mars Horizon,17-11-2020,True,True,False,9.0,84,0.08666273816538991,19.99,19.99,0,True
35,787040,Perfect Heist,17-08-2018,True,False,False,7.5,77,0.012099783932429779,1.49,4.99,70,True
36,801750,Hot Shot Burn,17-01-2020,True,False,False,9.0,90,0.004753486544883128,14.99,14.99,0,True
37,814740,Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,5/6/2019,True,False,False,5.25,41,0.020467491651934788,19.99,19.99,0,True
38,838410,Tabletop Playground,15-05-2020,True,True,True,9.0,88,0.0016892555490080536,14.99,14.99,0,True
